"","item","rating","literality","addressee","role","Subject","response"
"1",1,"Arousal","irony","other","Speaker","S03_1",5
"2",1,"Arousal","irony","other","Speaker","S04_1",6
"3",1,"Arousal","irony","other","Speaker","S06_1",3
"4",1,"Arousal","irony","other","Speaker","S08_1",6
"5",1,"Arousal","irony","other","Speaker","S09_1",2
"6",1,"Arousal","irony","other","Speaker","S11_1",6
"7",1,"Arousal","irony","other","Speaker","S12_1",4
"8",1,"Arousal","irony","other","Speaker","S13_1",5
"9",1,"Arousal","irony","other","Speaker","S14_1",7
"10",1,"Arousal","irony","other","Speaker","S15_1",3
"11",1,"Arousal","irony","other","Speaker","S16_1",5
"12",1,"Arousal","irony","other","Speaker","S17_1",5
"13",1,"Arousal","irony","other","Speaker","S18_1",5
"14",1,"Arousal","irony","other","Speaker","S19_1",2
"15",1,"Arousal","irony","other","Speaker","S20_1",6
"16",1,"Arousal","irony","other","Speaker","S21_1",3
"17",1,"Arousal","irony","other","Speaker","S22_1",4
"18",1,"Arousal","irony","other","Speaker","S24_1",5
"19",1,"Arousal","irony","other","Speaker","S25_1",4
"20",1,"Arousal","irony","other","Speaker","S26_1",5
"21",2,"Arousal","literal","self","Speaker","S03_1",5
"22",2,"Arousal","literal","self","Speaker","S04_1",5
"23",2,"Arousal","literal","self","Speaker","S06_1",6
"24",2,"Arousal","literal","self","Speaker","S08_1",5
"25",2,"Arousal","literal","self","Speaker","S09_1",3
"26",2,"Arousal","literal","self","Speaker","S11_1",5
"27",2,"Arousal","literal","self","Speaker","S12_1",5
"28",2,"Arousal","literal","self","Speaker","S13_1",5
"29",2,"Arousal","literal","self","Speaker","S14_1",6
"30",2,"Arousal","literal","self","Speaker","S15_1",3
"31",2,"Arousal","literal","self","Speaker","S16_1",3
"32",2,"Arousal","literal","self","Speaker","S17_1",4
"33",2,"Arousal","literal","self","Speaker","S18_1",5
"34",2,"Arousal","literal","self","Speaker","S19_1",2
"35",2,"Arousal","literal","self","Speaker","S20_1",4
"36",2,"Arousal","literal","self","Speaker","S21_1",5
"37",2,"Arousal","literal","self","Speaker","S22_1",5
"38",2,"Arousal","literal","self","Speaker","S24_1",3
"39",2,"Arousal","literal","self","Speaker","S25_1",6
"40",2,"Arousal","literal","self","Speaker","S26_1",7
"41",3,"Arousal","literal","other","Speaker","S03_1",2
"42",3,"Arousal","literal","other","Speaker","S04_1",5
"43",3,"Arousal","literal","other","Speaker","S06_1",4
"44",3,"Arousal","literal","other","Speaker","S08_1",5
"45",3,"Arousal","literal","other","Speaker","S09_1",6
"46",3,"Arousal","literal","other","Speaker","S11_1",5
"47",3,"Arousal","literal","other","Speaker","S12_1",1
"48",3,"Arousal","literal","other","Speaker","S13_1",1
"49",3,"Arousal","literal","other","Speaker","S14_1",6
"50",3,"Arousal","literal","other","Speaker","S15_1",5
"51",3,"Arousal","literal","other","Speaker","S16_1",2
"52",3,"Arousal","literal","other","Speaker","S17_1",4
"53",3,"Arousal","literal","other","Speaker","S18_1",3
"54",3,"Arousal","literal","other","Speaker","S19_1",1
"55",3,"Arousal","literal","other","Speaker","S20_1",2
"56",3,"Arousal","literal","other","Speaker","S21_1",2
"57",3,"Arousal","literal","other","Speaker","S22_1",6
"58",3,"Arousal","literal","other","Speaker","S24_1",3
"59",3,"Arousal","literal","other","Speaker","S25_1",3
"60",3,"Arousal","literal","other","Speaker","S26_1",1
"61",4,"Arousal","irony","self","Speaker","S03_1",1
"62",4,"Arousal","irony","self","Speaker","S04_1",1
"63",4,"Arousal","irony","self","Speaker","S06_1",4
"64",4,"Arousal","irony","self","Speaker","S08_1",5
"65",4,"Arousal","irony","self","Speaker","S09_1",6
"66",4,"Arousal","irony","self","Speaker","S11_1",4
"67",4,"Arousal","irony","self","Speaker","S12_1",1
"68",4,"Arousal","irony","self","Speaker","S13_1",1
"69",4,"Arousal","irony","self","Speaker","S14_1",7
"70",4,"Arousal","irony","self","Speaker","S15_1",3
"71",4,"Arousal","irony","self","Speaker","S16_1",2
"72",4,"Arousal","irony","self","Speaker","S17_1",6
"73",4,"Arousal","irony","self","Speaker","S18_1",3
"74",4,"Arousal","irony","self","Speaker","S19_1",1
"75",4,"Arousal","irony","self","Speaker","S20_1",4
"76",4,"Arousal","irony","self","Speaker","S21_1",3
"77",4,"Arousal","irony","self","Speaker","S22_1",5
"78",4,"Arousal","irony","self","Speaker","S24_1",3
"79",4,"Arousal","irony","self","Speaker","S25_1",3
"80",4,"Arousal","irony","self","Speaker","S26_1",1
"81",5,"Arousal","irony","other","Speaker","S03_1",2
"82",5,"Arousal","irony","other","Speaker","S04_1",3
"83",5,"Arousal","irony","other","Speaker","S06_1",1
"84",5,"Arousal","irony","other","Speaker","S08_1",4
"85",5,"Arousal","irony","other","Speaker","S09_1",5
"86",5,"Arousal","irony","other","Speaker","S11_1",4
"87",5,"Arousal","irony","other","Speaker","S12_1",2
"88",5,"Arousal","irony","other","Speaker","S13_1",1
"89",5,"Arousal","irony","other","Speaker","S14_1",2
"90",5,"Arousal","irony","other","Speaker","S15_1",3
"91",5,"Arousal","irony","other","Speaker","S16_1",2
"92",5,"Arousal","irony","other","Speaker","S17_1",1
"93",5,"Arousal","irony","other","Speaker","S18_1",3
"94",5,"Arousal","irony","other","Speaker","S19_1",1
"95",5,"Arousal","irony","other","Speaker","S20_1",6
"96",5,"Arousal","irony","other","Speaker","S21_1",5
"97",5,"Arousal","irony","other","Speaker","S22_1",7
"98",5,"Arousal","irony","other","Speaker","S24_1",5
